Species	Acetate Binary Phenotype	Formate Binary Phenotype	L-Lactate Binary Phenotype	D-Lactate Binary Phenotype
Bulleidia extructa	1	1	1	0
-	0	0	1	0
Butyricicoccus pullicaecorum	1	1	1	0
Butyricimonas synergistica	1	0	0	0
Butyrivibrio crossotus	1	1	0	1
Caloramator proteoclasticus	1	1	1	0
Campylobacter coli	1	0	1	0
Campylobacter concisus	1	0	0	0
Campylobacter jejuni	1	0	1	0
Campylobacter rectus	1	0	0	0
Campylobacter ureolyticus	1	0	0	0
Capnocytophaga ochracea	1	0	0	1
Capnocytophaga sputigena	1	0	0	1
Catenibacterium mitsuokai	0	1	1	0
Cetobacterium somerae	1	1	0	1
Christensenella minuta	1	1	1	0
Citrobacter freundii	1	1	0	1
Citrobacter koseri	1	1	1	1
Kallipyga massiliensis	1	0	1	0
Clostridium acetobutylicum	1	1	1	1
Gottschalkia acidurici	0	0	0	0
[Clostridium] asparagiforme	0	1	1	0
Intestinibacter bartlettii	0	1	1	0
Clostridium beijerinckii	1	1	1	1
Paraclostridium bifermentans	0	1	1	1
[Clostridium] bolteae	1	1	1	1
Clostridium botulinum	1	1	1	0
Clostridium butyricum	1	1	1	1
Clostridium cadaveris	1	1	1	1
Clostridium cellulovorans	1	1	1	0
[Clostridium] saccharolyticum	1	1	1	0
[Clostridium] clariflavum	1	1	1	0
[Clostridium] clostridioforme	1	1	1	1
Clostridioides difficile	0	1	1	1
Terrisporobacter glycolicus	0	1	1	0
Hungatella hathewayi	0	1	1	0
[Clostridium] hiranonis	0	1	0	0
[Clostridium] hylemonae	1	1	0	0
[Clostridium] innocuum	1	1	1	1
[Clostridium] leptum	0	1	1	0
Tyzzerella nexilis	1	1	1	0
Flavonifractor plautii	1	1	1	0
Clostridium pasteurianum	1	1	1	1
Clostridium perfringens	1	1	1	1
Erysipelatoclostridium ramosum	0	1	1	1
[Clostridium] scindens	1	1	0	0
Clostridium septicum	1	1	1	1
Paeniclostridium sordellii	0	1	1	1
[Clostridium] spiroforme	0	1	1	1
Clostridium sporogenes	1	1	1	0
[Clostridium] symbiosum	1	1	1	1
Clostridium tyrobutyricum	1	1	1	1
Collinsella aerofaciens	1	1	1	0
Collinsella intestinalis	1	1	1	1
Collinsella stercoris	1	1	1	1
Collinsella tanakaei	1	1	1	1
Comamonas testosteroni	1	0	0	0
Coprobacillus cateniformis	0	1	1	0
Coprococcus comes	1	1	1	0
Coprococcus eutactus	1	1	1	1
Corynebacterium aurimucosum	1	1	1	0
Desulfitobacterium hafniense	0	1	0	0
Halodesulfovibrio aestuarii	1	1	0	0
Desulfovibrio piger	1	1	0	0
Dialister invisus	0	0	1	0
Dorea formicigenerans	1	1	1	0
Dorea longicatena	1	1	0	0
Dyadobacter fermentans	0	0	0	1
Edwardsiella tarda	1	1	0	1
Eggerthella lenta	1	0	1	0
Eggerthia catenaformis	1	1	0	1
Eisenbergiella tayi	1	1	1	1
Klebsiella aerogenes	1	1	0	1
Enterobacter cloacae complex	1	1	0	1
Enterococcus avium	1	1	1	0
Enterococcus casseliflavus	1	1	1	0
Enterococcus durans	1	1	1	0
Enterococcus faecalis	1	1	1	0
Enterococcus faecium	1	1	1	1
Enterococcus hirae	1	1	1	0
Enterococcus raffinosus	1	1	1	0
Enterococcus saccharolyticus	1	1	1	0
Escherichia coli	1	1	0	1
Escherichia fergusonii	1	1	0	1
Atlantibacter hermannii	1	1	0	1
Holdemanella biformis	1	1	1	0
[Eubacterium] brachy	0	0	1	1
[Eubacterium] cellulosolvens	1	1	0	1
Eubacterium coprostanoligenes	0	1	1	0
Faecalitalea cylindroides	1	1	0	0
Absiella dolichum	1	1	1	0
[Eubacterium] hallii	1	1	1	0
Eubacterium limosum	0	1	0	1
Eubacterium ramulus	1	1	1	0
[Eubacterium] rectale	1	1	1	0
Lachnoanaerobaculum saburreum	1	1	1	0
[Eubacterium] saphenum	1	0	0	0
[Eubacterium] siraeum	0	1	0	0
Eubacterium ventriosum	1	1	1	1
[Eubacterium] yurii	1	0	1	0
Faecalibacterium prausnitzii	1	1	0	0
Filifactor alocis	1	0	0	0
Finegoldia magna	1	1	0	0
Flavonifractor plautii	1	1	1	0
Fusobacterium gonidiaformans	1	1	1	1
Fusobacterium mortiferum	1	1	0	1
Fusobacterium nucleatum	1	1	1	1
Fusobacterium varium	1	1	1	1
Gemella haemolysans	1	1	1	1
Gemella sanguinis	1	1	1	1
Gemmiger formicilis	1	1	0	1
Gordonia rubripertincta	1	0	1	0
Granulicatella adiacens	1	1	1	1
Haemophilus aegyptius	1	1	0	1
Haemophilus influenzae	1	1	0	1
Haemophilus parainfluenzae	1	1	0	0
Hafnia alvei	1	1	0	1
Helicobacter bilis	0	0	0	0
Helicobacter canadensis	1	0	0	0
Helicobacter pylori	1	0	0	0
Holdemania filiformis	0	0	1	0
Intestinimonas butyriciproducens	1	0	0	0
Kingella oralis	1	0	1	1
Klebsiella michiganensis	1	1	1	1
Klebsiella pneumoniae	1	1	1	1
Kocuria palustris	1	0	1	0
Kytococcus sedentarius	1	0	0	0
Lachnobacterium bovis	1	1	0	1
Lachnospira pectinoschiza	1	1	1	0
Lactobacillus acidophilus	1	0	1	1
Lactobacillus amylolyticus	1	0	1	1
Lactobacillus antri	1	0	1	1
Lactobacillus brevis	1	0	1	1
Lactobacillus buchneri	1	0	1	1
Lactobacillus paracasei	1	1	1	1
Lactobacillus casei	1	1	1	1
Lactobacillus crispatus	1	0	1	1
Lactobacillus delbrueckii	1	0	1	1
Lactobacillus fermentum	1	0	1	1
